MMV,Make,Model,Variant,Type,Fuel Type,Age,Transmission,Color,Kms,No of Owner,Heath score,price score,on road price,Current Price,Dep
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,8,Manual,Grey,"42,000",1,7,3.8,585070,333750,43.0
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,6,Manual,Silver,"40,000",1,6.4,5,585070,389238,33.5
HyundaiI10Magna 1.2 AT,Hyundai,I10,Magna 1.2 AT,Hatchback,Petrol,10,Automatic,Red,"66,000",1,6.4,3.4,527484,287950,45.4
HyundaiGrand I10Sportz,Hyundai,Grand I10,Sportz,Hatchback,Petrol,5,Manual,other,"21,435",1,6.8,4.8,645961,417198,35.4
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,Diesel,4,Manual,Red,"71,000",1,3.3,9.9,1217935,587982,51.7
HyundaiI10Sportz 1.2 Kappa2,Hyundai,I10,Sportz 1.2 Kappa2,Hatchback,Petrol,7,Manual,Red,"32,000",1,7,4.2,544760,315382,42.1
HyundaiGrand I10Magna,Hyundai,Grand I10,Magna,Hatchback,Petrol,6,Manual,Golden,"81,000",1,3.5,8.2,591384,184800,68.8
HyundaiVernaFluidic 1.6 CRDi SX Opt AT,Hyundai,Verna,Fluidic 1.6 CRDi SX Opt AT,Sedan,Diesel,7,Manual,White,"112,000",1,3.6,9.9,1431253,487728,65.9
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,diesel,6,Manual,Purple,"42,000",1,4.3,7.9,1217935,568750,53.3
HyundaiGetzGVS,Hyundai,Getz,GVS,Hatchback,Petrol,9,Manual,Silver,"25,000",1,9.9,8.5,503680,114400,77.3
HyundaiI10Magna,Hyundai,I10,Magna,Hatchback,Petrol,11,Manual,Red,"52,000",2,5,7.8,462988,145200,68.6
HyundaiXcentSX AT 1.2 (O),Hyundai,Xcent,SX AT 1.2 (O),Sedan,Petrol,4,Automatic,Blue,"4,109",1,5,6.1,904178,530478,41.3
HyundaiI10Sportz 1.2,Hyundai,I10,Sportz 1.2,Hatchback,Petrol,8,Manual,Beige,"20,400",1,4.5,8.2,537850,201520,62.5
HyundaiI10Magna1.1,Hyundai,I10,Magna1.1,Hatchback,Petrol,10,Manual,Red,"60,000",2,4.5,9.9,530124,132000,75.1
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,Diesel,7,Manual,Purple,"46,500",1,4.5,5.4,1217935,468832,61.5
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,diesel,6,Manual,Grey,"76,052",1,3.3,6.6,1217935,555326,54.4
HyundaiI10Asta1.2AtKappa2,Hyundai,I10,Asta1.2AtKappa2,Hatchback,Petrol,7,Automatic,White,"10,046",1,4.5,5.6,712790,356800,49.9
HyundaiI101.1L iRDE ERA Special Edition,Hyundai,I10,1.1L iRDE ERA Special Edition,Hatchback,Petrol,10,Manual,Red,"51,000",1,5,9.4,499369,171600,65.6
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,9,Manual,Silver,"53,494",1,6.1,4.6,738248,355876,51.8
HyundaiI10Magna 1.2,Hyundai,I10,Magna 1.2,Hatchback,Petrol,5,Manual,Red,"46,663",1,5.1,5.7,482567,295553,38.8
HyundaiVernaFluidic 1.6 VTVT SX,Hyundai,Verna,Fluidic 1.6 VTVT SX,Sedan,Petrol,6,Manual,White,"67,889",1,5.4,5.2,1046416,592800,43.3
HyundaiVernaFluidic 1.6 VTVT SX Opt AT,Hyundai,Verna,Fluidic 1.6 VTVT SX Opt AT,Sedan,Petrol,7,Automatic,Beige,"42,910",2,4.3,8.2,1187794,497200,58.1
HyundaiI10Magna,Hyundai,I10,Magna,Hatchback,Petrol,8,Manual,Red,"28,000",1,5.5,3.4,462988,287950,37.8
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,Diesel,4,Manual,White,"73,000",1,3.3,9.9,1217935,592800,51.3
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,8,Manual,Red,"41,661",1,4.5,7.6,585070,260662,55.4
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,7,Manual,White,"62,547",1,4.3,4.6,585070,315382,46.1
HyundaiVernaFluidic 1.6 VTVT SX,Hyundai,Verna,Fluidic 1.6 VTVT SX,Sedan,Petrol,5,Manual,Silver,"15,750",1,4.5,5.7,1046416,652389,37.7
HyundaiVernaFluidic 1.6 VTVT SX Opt AT,Hyundai,Verna,Fluidic 1.6 VTVT SX Opt AT,Sedan,Petrol,5,Automatic,Silver,"72,250",1,3.8,8.9,1187794,592800,50.1
HyundaiI20Asta 1.4 AT with AVN,Hyundai,I20,Asta 1.4 AT with AVN,Hatchback,Petrol,7,Automatic,Blue,"52,000",1,4.3,4.2,947859,403200,57.5
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,6,Manual,White,"26,000",1,4.5,5.6,585070,347568,40.6
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,5,Manual,Blue,"24,000",1,4.5,7.1,585070,398542,31.9
HyundaiAccentGLE,Hyundai,Accent,GLE,Sedan,Petrol,9,Manual,Golden,"79,897",1,4.3,5.2,691111,154000,77.7
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,6,Manual,White,"62,000",1,5.7,3.4,738248,520950,29.4
HyundaiI10Magna1.1,Hyundai,I10,Magna1.1,Hatchback,Petrol,10,Manual,Golden,"16,134",1,4.5,7.2,530124,176000,66.8
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,8,Manual,Black,"52,000",2,4.5,8.6,738248,265200,64.1
HyundaiI20Era 1.2,Hyundai,I20,Era 1.2,Hatchback,Petrol,8,Manual,Blue,"53,000",1,5,4.2,553974,242550,56.2
HyundaiI10Sportz 1.2,Hyundai,I10,Sportz 1.2,Hatchback,Petrol,9,Manual,Red,"55,000",1,4.5,6.1,537850,220000,59.1
HyundaiVernaFluidic 1.6 VTVT SX,Hyundai,Verna,Fluidic 1.6 VTVT SX,Sedan,Petrol,7,Manual,Black,"61,000",1,4.3,7.8,1046416,426550,59.2
HyundaiI10Sportz 1.2,Hyundai,I10,Sportz 1.2,Hatchback,Petrol,8,Manual,Red,"8,549",1,4.5,7.4,537850,278838,48.2
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,7,Manual,Red,"45,000",1,5,5.9,738248,311716,57.8
HyundaiSantro XingXo,Hyundai,Santro Xing,Xo,Hatchback,Petrol,11,Manual,Blue,"46,000",1,4.5,7.6,453719,123200,72.8
HyundaiElantraGLS,Hyundai,Elantra,GLS,Sedan,Petrol,12,Manual,Blue,"76,628",1,4.5,8.2,950839,202400,78.7
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,9,Manual,White,"50,000",1,4.5,7.9,585070,241646,58.7
HyundaiAccentGLE,Hyundai,Accent,GLE,Sedan,Petrol,11,Manual,Beige,"40,000",1,4.5,6.4,691111,176000,74.5
HyundaiI10Magna 1.2,Hyundai,I10,Magna 1.2,Hatchback,Petrol,6,Manual,Other,"15,650",1,9.9,4.8,482567,292512,39.4
HyundaiI20Sportz 1.2,Hyundai,I20,Sportz 1.2,Hatchback,Petrol,8,Manual,White,"39,346",2,4.5,6,678359,310800,54.2
HyundaiI10Sportz 1.2,Hyundai,I10,Sportz 1.2,Hatchback,Petrol,10,Manual,Red,"127,000",1,4.6,7.5,537850,167200,68.9
HyundaiVernaFluidic 1.6 VTVT SX,Hyundai,Verna,Fluidic 1.6 VTVT SX,Sedan,Petrol,7,Manual,Purple,"46,000",1,4.5,9.9,1046416,421872,59.7
HyundaiI10Era,Hyundai,I10,Era,Hatchback,Petrol,8,Manual,Red,"41,000",1,4.5,7.2,446864,219120,51.0
HyundaiSantro XingXl,Hyundai,Santro Xing,Xl,Hatchback,Petrol,11,Manual,Red,"70,000",1,4.5,5.2,432991,123200,71.5
HyundaiI10Magna1.1,Hyundai,I10,Magna1.1,Hatchback,Petrol,9,Manual,Golden,"68,000",1,4.3,6.6,530124,184800,65.1
HyundaiI20Era1.4Crdi,Hyundai,I20,Era1.4Crdi,Hatchback,diesel,6,Manual,White,"52,000",1,5.7,3.4,697196,421872,39.5
HyundaiI10Asta1.2,Hyundai,I10,Asta1.2,Hatchback,Petrol,10,Manual,Grey,"93,000",1,4.3,7,589156,224503,61.9
HyundaiI10Sportz 1.2 AT Kappa2,Hyundai,I10,Sportz 1.2 AT Kappa2,Hatchback,Petrol,10,Automatic,Blue,"63,000",1,4.5,8.2,610408,242550,60.3
HyundaiVerna1.4Crdi,Hyundai,Verna,1.4Crdi,Sedan,Diesel,8,Manual,Silver,"139,000",1,3.3,8.2,1081271,265200,75.5
HyundaiI20Asta 1.4 CRDI,Hyundai,I20,Asta 1.4 CRDI,Hatchback,Diesel,8,Manual,Blue,"52,000",1,4.5,4.2,894411,352182,60.6
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,9,Manual,Red,"68,928",1,4.3,6.4,585070,260662,55.4
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,6,Manual,White,"38,500",1,4.5,7.2,585070,333750,43.0
HyundaiI10Asta1.2AtKappa2,Hyundai,I10,Asta1.2AtKappa2,Hatchback,Petrol,7,Automatic,Grey,"50,200",1,4.3,7.8,712790,352182,50.6
HyundaiGetz Prime1.1GvsOption,Hyundai,Getz Prime,1.1GvsOption,Hatchback,Petrol,10,Manual,Red,"66,000",1,5,7.2,459879,127600,72.3
HyundaiI10Magna 1.2,Hyundai,I10,Magna 1.2,Hatchback,Petrol,6,Manual,Grey,"39,387",1,4.5,6.8,482567,265200,45.0
HyundaiI10Sportz 1.2,Hyundai,I10,Sportz 1.2,Hatchback,Petrol,8,Manual,Red,"35,000",1,4.5,6.6,537850,260662,51.5
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,7,Manual,Red,"45,000",1,4.5,6.1,585070,319968,45.3
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,7,Manual,Grey,"35,000",1,4.5,4.9,585070,324558,44.5
HyundaiVernaFluidic 1.4 VTVT,Hyundai,Verna,Fluidic 1.4 VTVT,Sedan,Petrol,5,Manual,Purple,"35,833",1,4.8,8,833881,520950,37.5
HyundaiAccentExecutive,Hyundai,Accent,Executive,Sedan,Petrol,9,Manual,White,"61,000",1,4.5,7.2,596659,167200,72.0
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,8,Manual,Black,"88,000",1,4.8,7.6,738248,242550,67.1
HyundaiI20Sportz 1.2 BS-IV,Hyundai,I20,Sportz 1.2 BS-IV,Hatchback,Petrol,5,Manual,Silver,"18,570",2,5,8.2,685269,403200,41.2
HyundaiI10Magna 1.2 Kappa2,Hyundai,I10,Magna 1.2 Kappa2,Hatchback,Petrol,6,Manual,Red,"45,168",1,4.8,7.4,510209,287950,43.6
HyundaiI10Magna 1.1 iRDE2,Hyundai,I10,Magna 1.1 iRDE2,Hatchback,Petrol,6,Manual,Red,"29,000",1,4.5,7.4,541570,278838,48.5
HyundaiI10Magna,Hyundai,I10,Magna,Hatchback,Petrol,11,Manual,Yellow,"72,600",2,5,7.5,462988,140800,69.6
HyundaiI10Sportz 1.2,Hyundai,I10,Sportz 1.2,Hatchback,Petrol,9,Manual,Grey,"40,000",1,9.9,7.2,537850,198000,63.2
HyundaiEonSportz,Hyundai,Eon,Sportz,Hatchback,Petrol,6,Manual,White,"50,000",1,4.8,9.2,510953,189200,63.0
HyundaiI20Sportz 1.2 BS-IV,Hyundai,I20,Sportz 1.2 BS-IV,Hatchback,Petrol,8,Manual,Black,"72,000",1,4.8,7,685269,242550,64.6
HyundaiElantra2.0SxMt,Hyundai,Elantra,2.0SxMt,Sedan,Petrol,5,Manual,Silver,"13,000",1,4.5,7.8,1764800,984181,44.2
HyundaiSantro XingGLS,Hyundai,Santro Xing,GLS,Hatchback,Petrol,10,Manual,Black,"65,000",1,5,8.9,457174,145200,68.2
HyundaiVernaFluidic 1.6 CRDi EX,Hyundai,Verna,Fluidic 1.6 CRDi EX,Sedan,diesel,6,Manual,White,"57,350",1,4,7.4,1166355,544800,53.3
HyundaiGrand I10Magna,Hyundai,Grand I10,Magna,Hatchback,Petrol,8,Manual,White,"34,466",1,4.5,8.5,591384,171600,71.0
HyundaiI10Magna 1.2,Hyundai,I10,Magna 1.2,Hatchback,Petrol,9,Manual,Silver,"52,300",1,5,5.6,482567,238032,50.7
HyundaiXcentBase 1.1 CRDi,Hyundai,Xcent,Base 1.1 CRDi,Sedan,Diesel,3,Manual,White,"78,500",1,9.8,8.2,717230,370678,48.3
HyundaiI20Sportz 1.2,Hyundai,I20,Sportz 1.2,Hatchback,Petrol,6,Manual,Beige,"19,600",1,9.9,6.3,678359,403200,40.6
HyundaiI20Sportz 1.2 (O),Hyundai,I20,Sportz 1.2 (O),Hatchback,Petrol,7,Manual,Silver,"33,000",1,5,4.2,608104,287950,52.6
HyundaiSantro XingXo,Hyundai,Santro Xing,Xo,Hatchback,Petrol,12,Manual,Black,"73,000",2,4.5,7,453719,118800,73.8
HyundaiVerna1.4Crdi,Hyundai,Verna,1.4Crdi,Sedan,Diesel,5,Manual,White,"56,000",1,4.8,7.5,1081271,543844,49.7
HyundaiI10Era,Hyundai,I10,Era,Hatchback,Petrol,10,Manual,Blue,"40,000",1,5,9.9,446864,180400,59.6
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,7,Manual,White,"62,595",1,4.3,4.6,585070,315382,46.1
HyundaiI10Magna 1.2 AT,Hyundai,I10,Magna 1.2 AT,Hatchback,Petrol,8,Automatic,Grey,"47,391",3,4.5,5.7,527484,275198,47.8
HyundaiEonEra,Hyundai,Eon,Era,Hatchback,Petrol,7,Manual,Grey,"29,000",2,4.5,8.2,359359,171600,52.2
HyundaiXcentBase 1.1 CRDi,Hyundai,Xcent,Base 1.1 CRDi,Sedan,Diesel,2,Manual,White,"60,000",1,4.2,4.6,717230,592800,17.3
HyundaiI20Asta1.4(o),Hyundai,I20,Asta1.4(o),Hatchback,Diesel,7,Manual,White,"67,000",2,4,8.2,639278,333750,47.8
HyundaiI20Sportz 1.2,Hyundai,I20,Sportz 1.2,Hatchback,Petrol,4,Manual,Blue,"9,179",1,4.5,7,678359,440608,35.0
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,8,Manual,Red,"54,054",1,4.5,5.7,738248,277928,62.4
HyundaiI10Sportz 1.2 AT,Hyundai,I10,Sportz 1.2 AT,Hatchback,Petrol,8,Automatic,Golden,"38,232",1,4.5,6.6,581615,287950,50.5
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,8,Manual,Other,"67,171",1,4.3,5.2,738248,278838,62.2
HyundaiAccentGLE,Hyundai,Accent,GLE,Sedan,Petrol,8,Manual,Golden,"49,000",1,4.5,4.8,691111,242550,64.9
HyundaiI10Magna 1.2,Hyundai,I10,Magna 1.2,Hatchback,Petrol,7,Manual,White,"37,000",2,4.5,7.2,482567,224502,53.5
HyundaiGetz Prime1.3Gvs,Hyundai,Getz Prime,1.3Gvs,Hatchback,Petrol,9,Manual,Black,"63,000",1,4.5,9.2,471405,132000,72.0
HyundaiI10Magna 1.2,Hyundai,I10,Magna 1.2,Hatchback,Petrol,8,Manual,Grey,"46,509",1,5,5.7,482567,260662,46.0
HyundaiSantro XingGLS,Hyundai,Santro Xing,GLS,Hatchback,Petrol,11,Manual,Silver,"60,000",2,5,7.8,457174,114400,75.0
HyundaiI20Sportz 1.2,Hyundai,I20,Sportz 1.2,Hatchback,Petrol,8,Manual,Silver,"58,000",2,4.3,8.2,678359,220000,67.6
HyundaiXcentSX (O),Hyundai,Xcent,SX (O),Sedan,Petrol,2,Manual,White,"23,387",1,3.3,8.4,883038,568750,35.6
HyundaiGrand I10Magna,Hyundai,Grand I10,Magna,Hatchback,Petrol,5,Manual,Red,"58,754",1,5,4.2,591384,403200,31.8
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,8,Manual,Blue,"81,000",2,4.7,9.9,585070,220000,62.4
HyundaiI20Asta 1.4 (AT),Hyundai,I20,Asta 1.4 (AT),Hatchback,Petrol,9,Automatic,Beige,"40,000",1,5,6.6,893729,324558,63.7
HyundaiI20Magna 1.4 CRDI,Hyundai,I20,Magna 1.4 CRDI,Hatchback,diesel,4,Manual,White,"24,100",1,3.8,8.4,739676,449060,39.3
HyundaiI20Sportz 1.4 CRDI,Hyundai,I20,Sportz 1.4 CRDI,Hatchback,diesel,6,Manual,Silver,"50,000",1,4.3,7.6,840488,366048,56.4
HyundaiI20Sportz 1.2 BS-IV,Hyundai,I20,Sportz 1.2 BS-IV,Hatchback,Petrol,6,Manual,Red,"29,700",2,5,4.8,685269,356800,47.9
HyundaiI10Sportz 1.2 AT,Hyundai,I10,Sportz 1.2 AT,Hatchback,Petrol,5,Automatic,Grey,"18,400",1,4.5,6.9,581615,347568,40.2
HyundaiI20Magna (O) 1.2,Hyundai,I20,Magna (O) 1.2,Hatchback,Petrol,6,Manual,Grey,"45,745",1,6.1,4.2,613863,492462,19.8
HyundaiAccentGLE,Hyundai,Accent,GLE,Sedan,Petrol,11,Manual,Grey,"69,000",3,8.5,6.8,691111,110000,84.1
HyundaiI10Era 1.1 iRDE2,Hyundai,I10,Era 1.1 iRDE2,Hatchback,Petrol,9,Manual,Golden,"22,000",2,4.5,7.4,504450,167200,66.9
HyundaiI20Magna (O) 1.2,Hyundai,I20,Magna (O) 1.2,Hatchback,Petrol,5,Manual,Red,"51,600",1,3.8,4.7,613863,389238,36.6
HyundaiI20Asta 1.4 CRDI,Hyundai,I20,Asta 1.4 CRDI,Hatchback,Diesel,4,Manual,Red,"24,500",1,5,4,894411,616950,31.0
HyundaiI20Sportz 1.4 CRDI,Hyundai,I20,Sportz 1.4 CRDI,Hatchback,Diesel,5,Manual,White,"57,000",1,4.8,6.8,840488,407862,51.5
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,8,Manual,Silver,"48,485",1,5,6.1,738248,352182,52.3
HyundaiCreta1.6Sx(o)Diesel,Hyundai,Creta,1.6Sx(o)Diesel,SUV,diesel,3,Manual,Silver,"10,200",1,4.5,5.2,1733659,1496250,13.7
HyundaiI10Era 1.1 iRDE2,Hyundai,I10,Era 1.1 iRDE2,Hatchback,Petrol,2,Manual,White,"13,126",1,3.8,8.8,504450,379950,24.7
HyundaiElite I20Asta 1.2,Hyundai,Elite I20,Asta 1.2,Hatchback,Petrol,2,Manual,Silver,"14,000",1,7.9,7.7,822103,592800,27.9
HyundaiSantro XingGlsAt,Hyundai,Santro Xing,GlsAt,Hatchback,Petrol,10,Automatic,Black,"41,000",2,4.5,7.4,414566,167200,59.7
HyundaiI20Sportz 1.2,Hyundai,I20,Sportz 1.2,Hatchback,Petrol,5,Manual,Silver,"18,746",1,4.5,6.4,678359,417198,38.5
HyundaiVerna1.6 VTVT EX,Hyundai,Verna,1.6 VTVT EX,Sedan,Petrol,10,Manual,Silver,"57,649",1,4.5,8.2,1080097,473550,56.2
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,8,Manual,Grey,"82,000",1,4,7.2,738248,278838,62.2
HyundaiSantro XingGL Plus,Hyundai,Santro Xing,GL Plus,Hatchback,Petrol,5,Manual,White,"42,000",1,3.8,7.2,431840,260662,39.6
HyundaiSantro XingGLS,Hyundai,Santro Xing,GLS,Hatchback,Petrol,7,Manual,Grey,"56,000",1,6.1,4.6,457174,265200,42.0
HyundaiEonSportz,Hyundai,Eon,Sportz,Hatchback,Petrol,6,Manual,White,"23,944",1,5,7.1,510953,189200,63.0
HyundaiElite I20Sportz 1.4 (O),Hyundai,Elite I20,Sportz 1.4 (O),Hatchback,diesel,4,Manual,Grey,"49,118",1,5,4.2,908764,665550,26.8
HyundaiEonMagna +,Hyundai,Eon,Magna +,Hatchback,Petrol,3,Manual,Silver,"20,298",1,5,4.2,478636,287950,39.8
HyundaiVernaVGT CRDi SX ABS,Hyundai,Verna,VGT CRDi SX ABS,Sedan,diesel,9,Manual,Black,"136,863",1,3.5,9.9,957191,306222,68.0
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,7,Manual,Silver,"72,000",1,4,7.9,738248,310800,57.9
HyundaiEonSportz,Hyundai,Eon,Sportz,Hatchback,Petrol,2,Manual,Blue,"8,600",1,4.3,7.5,510953,342958,32.9
HyundaiVerna1.6 VTVT SX,Hyundai,Verna,1.6 VTVT SX,Sedan,Petrol,6,Manual,Purple,"57,135",1,4,4.2,1135123,568750,49.9
HyundaiGrand I10AstaAt,Hyundai,Grand I10,AstaAt,Hatchback,Petrol,3,Automatic,Grey,"7,597",1,4.5,4.7,743977,568750,23.6
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,diesel,6,Manual,Purple,"41,000",1,4.3,7.1,1217935,665550,45.4
HyundaiGrand I10Magna 1.2 Kappa VTVT,Hyundai,Grand I10,Magna 1.2 Kappa VTVT,Hatchback,Petrol,4,Manual,Silver,"10,009",1,4.5,4.8,633709,426550,32.7
HyundaiI10Magna,Hyundai,I10,Magna,Hatchback,Petrol,10,Manual,Golden,"51,000",2,4.5,7,462988,184800,60.1
HyundaiVernaFluidic 1.6 CRDi SX Opt AT,Hyundai,Verna,Fluidic 1.6 CRDi SX Opt AT,Sedan,Diesel,4,Automatic,White,"13,033",1,5,5.7,1431253,914550,36.1
HyundaiI10Magna 1.2 AT,Hyundai,I10,Magna 1.2 AT,Hatchback,Petrol,8,Automatic,Grey,"54,000",1,4.5,6.6,527484,292512,44.5
HyundaiVerna1.6SxCrdiAt,Hyundai,Verna,1.6SxCrdiAt,Sedan,Diesel,7,Automatic,Grey,"61,000",2,4.3,7.9,1463428,473550,67.6
HyundaiGrand I10Magna 1.2 Kappa VTVT,Hyundai,Grand I10,Magna 1.2 Kappa VTVT,Hatchback,Petrol,5,Manual,Red,"34,300",1,4.8,8.2,633709,283392,55.3
HyundaiGrand I10Sportz 1.1 CRDi,Hyundai,Grand I10,Sportz 1.1 CRDi,Hatchback,Diesel,3,Manual,White,"50,000",1,4.4,6.8,747882,460350,38.4
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,7,Manual,Silver,"44,000",1,5,4.2,738248,333750,54.8
HyundaiI20Asta (O) 1.2,Hyundai,I20,Asta (O) 1.2,Hatchback,Petrol,8,Manual,Grey,"63,550",1,5.3,7.5,777406,310800,60.0
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,Diesel,7,Manual,Silver,"72,229",1,3.8,8.2,1217935,506688,58.4
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,8,Manual,Black,"55,798",1,5,4.2,738248,287950,61.0
HyundaiVerna1.6 CRDI SX,Hyundai,Verna,1.6 CRDI SX,Sedan,Diesel,6,Manual,White,"51,000",1,4.8,6,1375438,535248,61.1
HyundaiAccentGLE,Hyundai,Accent,GLE,Sedan,Petrol,9,Manual,Red,"66,000",1,5,5.2,691111,140800,79.6
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,8,Manual,Red,"31,000",1,4.5,5.7,585070,251598,57.0
HyundaiI20Sportz 1.2,Hyundai,I20,Sportz 1.2,Hatchback,Petrol,6,Manual,White,"20,377",2,4.5,7,678359,370678,45.4
HyundaiXcentBase 1.1 CRDi,Hyundai,Xcent,Base 1.1 CRDi,Sedan,Diesel,2,Manual,Blue,"17,000",1,4.9,7.4,717230,525712,26.7
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,7,Manual,White,"22,000",1,4.5,7.8,738248,356800,51.7
HyundaiVernaFluidic 1.6 VTVT SX AT,Hyundai,Verna,Fluidic 1.6 VTVT SX AT,Sedan,Petrol,7,Automatic,White,"69,200",1,4,4.7,1131198,520950,53.9
HyundaiElite I20Sportz 1.2 (O),Hyundai,Elite I20,Sportz 1.2 (O),Hatchback,Petrol,4,Manual,Red,"36,813",1,3.8,6.7,779764,520950,33.2
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,6,Manual,White,"42,516",1,4.3,6.6,585070,370678,36.6
HyundaiVerna1.6 CRDI SX,Hyundai,Verna,1.6 CRDI SX,Sedan,diesel,5,Manual,White,"77,000",1,3.8,8.6,1375438,646062,53.0
HyundaiI10Sportz 1.2,Hyundai,I10,Sportz 1.2,Hatchback,Petrol,8,Manual,Red,"53,500",2,5,7.8,537850,206800,61.6
HyundaiVerna1.6 CRDI SX,Hyundai,Verna,1.6 CRDI SX,Sedan,Diesel,5,Manual,Purple,"65,000",1,3.5,7.2,1375438,616950,55.1
HyundaiI20Sportz 1.2 BS-IV,Hyundai,I20,Sportz 1.2 BS-IV,Hatchback,Petrol,7,Manual,Golden,"45,000",2,4.9,7.8,685269,329152,52.0
HyundaiVerna1.6Sx,Hyundai,Verna,1.6Sx,Sedan,Petrol,3,Manual,Silver,"23,000",1,4,7.6,1197165,889200,25.7
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,6,Manual,White,"69,702",1,5.4,3.4,585070,450000,23.1
HyundaiI20Magna 1.4 CRDI,Hyundai,I20,Magna 1.4 CRDI,Hatchback,Diesel,6,Manual,Silver,"72,000",1,3.8,5.2,739676,352182,52.4
HyundaiGetzGL,Hyundai,Getz,GL,Hatchback,Petrol,10,Manual,Silver,"78,994",2,6.4,3.4,367675,256128,30.3
HyundaiSantro XingGLS,Hyundai,Santro Xing,GLS,Hatchback,Petrol,8,Manual,Silver,"55,126",1,4.5,9.9,457174,162800,64.4
HyundaiEonEra +,Hyundai,Eon,Era +,Hatchback,Petrol,6,Manual,Blue,"58,000",1,4,7.8,442461,220000,50.3
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,7,Manual,Grey,"38,461",2,5,5.7,738248,315382,57.3
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,Diesel,4,Manual,White,"28,000",1,5,7.2,1217935,763950,37.3
HyundaiEonSportz,Hyundai,Eon,Sportz,Hatchback,Petrol,2,Manual,Blue,"8,711",1,4.3,8.9,510953,333750,34.7
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,9,Manual,Silver,"73,000",2,4.8,5.5,738248,220000,70.2
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,8,Manual,Red,"45,628",1,5,5,585070,260662,55.4
HyundaiI10Sportz 1.2 AT,Hyundai,I10,Sportz 1.2 AT,Hatchback,Petrol,8,Automatic,Black,"34,000",1,4.5,8.2,581615,269743,53.6
HyundaiVernaFluidic 1.6 CRDi EX,Hyundai,Verna,Fluidic 1.6 CRDi EX,Sedan,Diesel,6,Manual,Silver,"93,000",1,9.3,8.9,1166355,497200,57.4
