MMV,Make,Model,Variant,Type,Fuel Type,Age,Transmission,Color,Kms,No of Owner,Heath score,price score,on road price,Current Price,Dep
Maruti SuzukiSwift DzireTour,Maruti Suzuki,Swift Dzire,Tour,Sedan,Diesel,5,Manual,White,"85,000",1,4.1,9.4,920437,342958,62.7
Maruti SuzukiWagon RVXI,Maruti Suzuki,Wagon R,VXI,Hatchback,Petrol,12,Manual,Silver,"60,000",1,5,4.5,505259,127600,74.7
ToyotaInnova2.5 V 7 STR,Toyota,Innova,2.5 V 7 STR,MUV,Diesel,7,Manual,Silver,"120,000",1,4.4,8.8,1317441,788800,40.1
ToyotaInnova2.5 V 7 STR,Toyota,Innova,2.5 V 7 STR,MUV,Diesel,10,Manual,Grey,"42,000",1,9.9,5.6,1317441,739200,43.9
ToyotaInnova2.5 VX 7 STR BS-IV,Toyota,Innova,2.5 VX 7 STR BS-IV,MUV,Diesel,8,Manual,Silver,"86,700",1,4.8,8.5,1738257,690000,60.3
ToyotaCorolla Altis1.8 G,Toyota,Corolla Altis,1.8 G,Sedan,Petrol,8,Manual,White,"57,700",1,6.4,9,1525510,473550,69.0
ToyotaInnova2.5 G4 8 STR,Toyota,Innova,2.5 G4 8 STR,MUV,diesel,8,Manual,Blue,"76,473",1,5.7,5.8,1120298,758992,32.3
ToyotaInnova2.5 G4 8 STR,Toyota,Innova,2.5 G4 8 STR,MUV,Diesel,8,Manual,Blue,"73,000",2,4.3,9.5,1120298,626638,44.1
ToyotaCorolla Altis1.8 G,Toyota,Corolla Altis,1.8 G,Sedan,Petrol,8,Manual,White,"38,929",1,4.5,8.6,1525510,435918,71.4
ToyotaFortuner3.0 4x4 MT,Toyota,Fortuner,3.0 4x4 MT,SUV,diesel,7,Manual,Grey,"85,000",1,5.4,7,3234954,1187500,63.3
ToyotaInnova2.5G,Toyota,Innova,2.5G,MUV,Diesel,8,Manual,Beige,"88,322",2,3.8,9.7,1585233,592800,62.6
ToyotaInnova2.5 V 7 STR,Toyota,Innova,2.5 V 7 STR,MUV,Diesel,12,Manual,Black,"80,100",2,4.5,9.9,1317441,347568,73.6
ToyotaInnovaG4,Toyota,Innova,G4,MUV,Diesel,12,Manual,Golden,"107,000",2,4.3,8.2,1155863,319968,72.3
ToyotaCorolla Altis1.8Vl,Toyota,Corolla Altis,1.8Vl,Sedan,Petrol,10,Manual,Beige,"45,000",1,4.5,9.9,1822366,342958,81.2
ToyotaInnova2.5G,Toyota,Innova,2.5G,MUV,Diesel,12,Manual,Silver,"217,000",2,3.8,9.9,1585233,342958,78.4
ToyotaCorolla Altis1.8 G,Toyota,Corolla Altis,1.8 G,Sedan,Petrol,8,Manual,Black,"69,000",1,4.8,7.5,1525510,379950,75.1
ToyotaCamry2.5L AT,Toyota,Camry,2.5L AT,Sedan,Petrol,11,Automatic,Black,"71,000",5,4.5,9.9,3414762,651902,80.9
ToyotaCorolla Altis1.8 GL,Toyota,Corolla Altis,1.8 GL,Sedan,Diesel,9,Manual,Silver,"75,762",1,4.8,8.3,1690430,324558,80.8
ToyotaCorolla Altis1.8 G,Toyota,Corolla Altis,1.8 G,Sedan,Petrol,10,Manual,White,"74,000",1,5,9.1,1525510,287950,81.1
ToyotaInnova2.5 VX 8 STR BS-IV,Toyota,Innova,2.5 VX 8 STR BS-IV,MUV,Diesel,6,Manual,Silver,"83,000",1,4.6,9.1,1531436,914550,40.3
ToyotaCorolla Altis1.8v,Toyota,Corolla Altis,1.8v,Sedan,Petrol,9,Automatic,Golden,"40,000",1,5,6.1,1767000,398542,77.4
ToyotaCorollaH2 1.8E,Toyota,Corolla,H2 1.8E,Sedan,Petrol,11,Manual,Silver,"88,866",2,4.3,9.9,1306402,211200,83.8
ToyotaInnova2.5G,Toyota,Innova,2.5G,MUV,Diesel,11,Manual,White,"87,436",1,9.9,5.1,1585233,497200,68.6
ToyotaInnova2.5V,Toyota,Innova,2.5V,MUV,diesel,6,Manual,Grey,"119,000",1,3.3,6.2,1133338,989100,12.7
ToyotaCorollaH2 1.8E,Toyota,Corolla,H2 1.8E,Sedan,Petrol,11,Manual,Golden,"97,340",1,4.3,7,1306402,242550,81.4
ToyotaInnova2.5 G 7 STR BS-IV,Toyota,Innova,2.5 G 7 STR BS-IV,MUV,diesel,6,Manual,Silver,"81,000",1,5,5.2,1475247,998944,32.3
ToyotaFortuner2.84x4Mt,Toyota,Fortuner,2.84x4Mt,SUV,Diesel,6,Manual,White,"84,000",2,3.5,8.2,3554356,1496250,57.9
